Total Volume by transit for Xparcel volume,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Total Volume by carrier for use in populating each products volume,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,# of Weeks shipped for volume datasets,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Average Weekly shipcount and revenue for summary chart,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Average Weekly Revenue for determining Discount,Unnamed: 46,Unnamed: 47,Mapping of product to Summary,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Xparcel Volume,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Expedited,Expedited1,Expedited2,Expedited3,Expedited4,Expedited5,Expedited6,Expedited7,Expedited8,Unnamed: 68,Unnamed: 69,Ground,Ground1,Ground2,Ground3,Ground4,Ground5,Ground6,Ground7,Ground8,Unnamed: 79,Unnamed: 80,Priority,Priority1,Priority2,Priority3,Priority4,Priority5,Priority6,Priority7,Priority8,Unnamed: 90,Unnamed: 91,Exp Plus,Exp Plus1,Exp Plus2,Exp Plus3,Exp Plus4,Exp Plus5,Exp Plus6,Exp Plus7,Exp Plus8
20594error - Label type not mapped80,20594,Test2,error - Label type not mapped,80,,,,,5.0,,6.0,,,20550ExpeditedACI-WS160,20550,Elite Marketing LLC,Expedited,ACI-WS,160,,,,,1.0,,,,,21725,GT Throne LLC,6,10,,20598Direct Call,20598FDXDirect Call,20598,Test1,FDX,Direct Call,24,1041.9,3,8,,LeCore Logic Inc,2000,,,,,,,21864,Tile Inc.,96868,96868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Expedited5,20598,Test1,Expedited,5,,,1.0,,5.0,,,,,20550ExpeditedACI-WS176,20550,Elite Marketing LLC,Expedited,ACI-WS,176,,,,,3.0,,,,,21736,Urban Necessities,6,12,,20598Direct Call,20598FDXDirect Call,20598,Test1,FDX,Direct Call,6,0,1,6,,Petit Vour,2000,,,,,,,21867,Sweet Lovely Inc,59,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Expedited8,20598,Test1,Expedited,8,,,,,2.0,,,,,20550ExpeditedACI-WS224,20550,Elite Marketing LLC,Expedited,ACI-WS,224,,,,,1.0,,,,,21745,UTAH ENERGY SAVERS,38,113,,20598Direct Call,20598FM-DDUDirect Call,20598,Test1,FM-DDU,Direct Call,2,26.28,1,2,,Replacement Laptop Keys,2000,,,,,,,21868,Bohme,15447,15447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Expedited10,20598,Test1,Expedited,10,,,,,,,1.0,,,20550ExpeditedACI-WS144,20550,Elite Marketing LLC,Expedited,ACI-WS,144,,,,,2.0,,,,,21766,Jvini Fashions,1,2,,20598Direct Call,20598FM-DDUDirect Call,20598,Test1,FM-DDU,Direct Call,1,5.91,1,1,,Benne Tek,2000,,,,,,,21880,LeCore Logic Inc,6148,6148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Expedited12,20598,Test1,Expedited,12,,,1.0,,4.0,,,,,20550ExpeditedACI-WS240,20550,Elite Marketing LLC,Expedited,ACI-WS,240,,,,1.0,1.0,,,,,21771,Hospital Productions,40,779,,20598Direct Call,20598FM-DDUDirect Call,20598,Test1,FM-DDU,Direct Call,2,19.05,1,2,,Native Path,2000,,,,,,,21891,Ducksung Inc,6447,6447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Expedited15.99,20598,Test1,Expedited,15.99,,,,,2.0,,,,,20550ExpeditedACI-WS256,20550,Elite Marketing LLC,Expedited,ACI-WS,256,,,,1.0,2.0,,,,,21775,Theatre FX LLC,2,3,,20598Direct Call,20598FM-DDUDirect Call,20598,Test1,FM-DDU,Direct Call,2,19.05,1,2,,Viva 5 Corporation,1800,,,,,,,21894,Commend,299,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Expedited32,20598,Test1,Expedited,32,,,1.0,,2.0,,,,,20550ExpeditedDHL-X15.99,20550,Elite Marketing LLC,Expedited,DHL-X,15.99,,1.0,6.0,44.0,96.0,96.0,87.0,116.0,,21778,Posh Peanut Inc,41,291105,,20598Direct Call,20598FM-GDirect Call,20598,Test1,FM-G,Direct Call,1,24.56,1,1,,Pure Bulk,1718,,,,,,,21895,Long Island Electrical Systems,109,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Expedited48,20598,Test1,Expedited,48,,,2.0,,,,,,,20550ExpeditedDHL-X32,20550,Elite Marketing LLC,Expedited,DHL-X,32,,2.0,9.0,87.0,206.0,152.0,225.0,246.0,,21780,IFS Logix (Customer),41,23748,,20598Direct Call,20598FM-PDirect Call,20598,Test1,FM-P,Direct Call,4,69.04,1,4,,LV's Global LLC,1674,,,,,,,21906,Strong Selfie,1714,1714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Expedited80,20598,Test1,Expedited,80,,,1.0,,,,,,,20550ExpeditedDHL-X80,20550,Elite Marketing LLC,Expedited,DHL-X,80,,,,11.0,21.0,14.0,26.0,25.0,,21784,Corda LLC,30,162,,20598Direct Call,20598FM-XDirect Call,20598,Test1,FM-X,Direct Call,1,15.32,1,1,,Acupuncture Atlanta,1500,,,,,,,21910,Alabama Wholesale Socks Inc,3826,3826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Expedited160,20598,Test1,Expedited,160,,,,,1.0,,,,,20550ExpeditedDHL-X192,20550,Elite Marketing LLC,Expedited,DHL-X,192,,,,,3.0,5.0,6.0,12.0,,21785,Terra di Siena USA LLC,10,11,,20598Direct Call,20598LSO RPDDirect Call,20598,Test1,LSO RPD,Direct Call,2,62.54,1,2,,Diathrive,1500,,,,,,,21919,Nussentials,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Exp Plus0.4,20598,Test1,Exp Plus,0.4,,,1.0,,,,,,,20550ExpeditedDHL-X64,20550,Elite Marketing LLC,Expedited,DHL-X,64,,,7.0,45.0,117.0,100.0,128.0,137.0,,21805,LOLA,41,342057,,20598Direct Call,20598LSO RPDDirect Call,20598,Test1,LSO RPD,Direct Call,1,26,1,1,,EPX Body,1500,,,,,,,21928,Rok Inc.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Exp Plus5,20598,Test1,Exp Plus,5,,,,,1.0,,,,,20550ExpeditedDHL-X6,20550,Elite Marketing LLC,Expedited,DHL-X,6,,10.0,39.0,173.0,429.0,357.0,478.0,517.0,,21814,Robbins Sports,23,98,,20598Direct Call,20598LSO RPDDirect Call,20598,Test1,LSO RPD,Direct Call,1,33.76,1,1,,Hip Kit Club,1500,,,,,,,21930,Pink Princess,10637,10637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Ground5,20598,Test1,Ground,5,,,,,1.0,,,,,20550ExpeditedDHL-X7,20550,Elite Marketing LLC,Expedited,DHL-X,7,3.0,8.0,45.0,234.0,588.0,513.0,631.0,652.0,,21826,Stuhrling Original LLC,40,1646,,20598Ground,20598LSO RPDGround,20598,Test1,LSO RPD,Ground,1,32.4,1,1,,Jack Rogers,1500,,,,,,,21936,Herlee LLC,174,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Ground7,20598,Test1,Ground,7,,,,,,,1.0,,,20550ExpeditedDHL-X8,20550,Elite Marketing LLC,Expedited,DHL-X,8,,4.0,18.0,118.0,343.0,302.0,380.0,361.0,,21828,Triple Arm,39,2148,,20598Direct Call,20598LZR RPDDirect Call,20598,Test1,LZR RPD,Direct Call,3,47.95,2,1.5,,Pink Princess,1500,,,,,,,21940,TeeHee Socks,686,686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Ground8,20598,Test1,Ground,8,,,,2.0,3.0,,,,,20550ExpeditedDHL-X9,20550,Elite Marketing LLC,Expedited,DHL-X,9,,11.0,6.0,68.0,191.0,172.0,209.0,225.0,,21843,Hasko Trading Inc,1,1,,20598Direct Call,20598NGSDirect Call,20598,Test1,NGS,Direct Call,17,1246.36,3,5.6667,,Obsessions Boutique,1300,,,,,,,21946,Busy Bod Leos,391,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Ground10,20598,Test1,Ground,10,,,,1.0,,,,,,20550ExpeditedDHL-X10,20550,Elite Marketing LLC,Expedited,DHL-X,10,,,4.0,16.0,45.0,48.0,64.0,75.0,,21844,eHealth Fulfillment,27,6833,,20598Direct Call,20598NGSDirect Call,20598,Test1,NGS,Direct Call,5,63.33,2,2.5,,,1200,,,,,,,21951,NovaShip,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Ground12,20598,Test1,Ground,12,,,,1.0,14.0,,,,,20550ExpeditedDHL-X11,20550,Elite Marketing LLC,Expedited,DHL-X,11,,1.0,5.0,12.0,46.0,39.0,61.0,60.0,,21859,Southbay Core,6,68,,20598Direct Call,20598NGSDirect Call,20598,Test1,NGS,Direct Call,4,44.28,2,2,,ALL PURPOSE BRANDING LLC,1000,,,,,,,21957,RPG Ventures Pte Ltd,250,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Ground15.99,20598,Test1,Ground,15.99,2.0,,,8.0,21.0,,3.0,,,20550ExpeditedDHL-X12,20550,Elite Marketing LLC,Expedited,DHL-X,12,,,5.0,27.0,55.0,46.0,62.0,78.0,,21864,Tile Inc.,39,406337,,20598Direct Call,20598NGS-RNSDirect Call,20598,Test1,NGS-RNS,Direct Call,4,45.63,1,4,,Butterfly-Box,1000,,,,,,,21962,Xintiandi Tech Corp,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Ground32,20598,Test1,Ground,32,,,8.0,8.0,1.0,,,,,20550ExpeditedDHL-X13,20550,Elite Marketing LLC,Expedited,DHL-X,13,1.0,2.0,4.0,40.0,73.0,63.0,92.0,104.0,,21868,Bohme,42,145317,,20598Direct Call,20598NGS-RNSDirect Call,20598,Test1,NGS-RNS,Direct Call,4,45.63,1,4,,Intermountain Nutrition,1000,,,,,,,21967,Citrus Twist,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Ground48,20598,Test1,Ground,48,,,,,1.0,,,,,20550ExpeditedDHL-X48,20550,Elite Marketing LLC,Expedited,DHL-X,48,,,3.0,21.0,44.0,42.0,52.0,59.0,,21875,Daisy Leo Limited LLC,1,1,,20598Direct Call,20598ONT RPDDirect Call,20598,Test1,ONT RPD,Direct Call,2,27.44,2,1,,On Demand Fulfillment,1000,,,,,,,21979,Infinite Cycles Utah Inc,19957,19957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Ground80,20598,Test1,Ground,80,,,,,3.0,,,,,20550ExpeditedDHL-X96,20550,Elite Marketing LLC,Expedited,DHL-X,96,,1.0,,16.0,36.0,17.0,29.0,23.0,,21880,LeCore Logic Inc,41,29031,,20598Direct Call,20598ONT RPDDirect Call,20598,Test1,ONT RPD,Direct Call,1,13.72,1,1,,Posterazzi Corp,1000,,,,,,,21981,RSL (Customer),356439,88829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Ground160,20598,Test1,Ground,160,,,,,1.0,,,,,20550ExpeditedDHL-X112,20550,Elite Marketing LLC,Expedited,DHL-X,112,,,,2.0,6.0,5.0,4.0,10.0,,21891,Ducksung Inc,41,10273,,20598Direct Call,20598ONT RPDDirect Call,20598,Test1,ONT RPD,Direct Call,5,82.15,3,1.6667,,Ta-Ta Towels LLC,1000,,,,,,,21982,RSL (Customer),356439,54885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Ground384,20598,Test1,Ground,384,,,,3.0,,,,,,20550ExpeditedDHL-X128,20550,Elite Marketing LLC,Expedited,DHL-X,128,,,1.0,5.0,5.0,6.0,5.0,9.0,,21894,Commend,40,1322,,20598Direct Call,20598ONT RPDDirect Call,20598,Test1,ONT RPD,Direct Call,3,41.16,2,1.5,,Temporary Residence Ltd,1000,,,,,,,21984,RSL (Customer),356439,46466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Ground432,20598,Test1,Ground,432,,,,,2.0,,,,,20550ExpeditedDHL-X1,20550,Elite Marketing LLC,Expedited,DHL-X,1,,,2.0,9.0,9.0,14.0,19.0,20.0,,21895,Long Island Electrical Systems,34,297,,20598Direct Call,20598ONT RPDDirect Call,20598,Test1,ONT RPD,Direct Call,3,41.16,1,3,,Triple Arm,1000,,,,,,,21986,RSL (Customer),356439,22786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Priority1,20598,Test1,Priority,1,,,,,1.0,,,,,20550ExpeditedDHL-X2,20550,Elite Marketing LLC,Expedited,DHL-X,2,,,2.0,5.0,9.0,13.0,13.0,14.0,,21906,Strong Selfie,12,11806,,20598Direct Call,20598ONTRACDirect Call,20598,Test1,ONTRAC,Direct Call,3,57.32,2,1.5,,Virtual Label LLC,1000,,,,,,,21987,RSL (Customer),356439,75927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Priority5,20598,Test1,Priority,5,,,,,2.0,,,,,20550ExpeditedDHL-X4,20550,Elite Marketing LLC,Expedited,DHL-X,4,,,4.0,9.0,29.0,29.0,20.0,29.0,,21910,Alabama Wholesale Socks Inc,41,2507,,20598Direct Call,20598OSMDirect Call,20598,Test1,OSM,Direct Call,4,63.88,1,4,,Christmas By Krebs,1000,,,,,,,21988,RSL (Customer),356439,11175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Priority12,20598,Test1,Priority,12,,,,,20.0,,,,,20550ExpeditedDHL-X5,20550,Elite Marketing LLC,Expedited,DHL-X,5,,3.0,13.0,65.0,134.0,76.0,132.0,156.0,,21919,Nussentials,15,15,,20598Direct Call,20598PO-FCDirect Call,20598,Test1,PO-FC,Direct Call,2,12.2,1,2,,Hourglass Angel,779,,,,,,,21989,RSL (Customer),356439,12857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Priority160,20598,Test1,Priority,160,,,,,5.0,,,,,20550ExpeditedDHL-X14,20550,Elite Marketing LLC,Expedited,DHL-X,14,,,1.0,20.0,33.0,40.0,51.0,51.0,,21929,"CHOCZERO, INC.",2,2,,20598Direct Call,20598PTMT-FCDirect Call,20598,Test1,PTMT-FC,Direct Call,1,18.7,1,1,,Cara Loren Shop LLC,750,,,,,,,21990,RSL (Customer),356439,43514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598error - Label type not mapped0,20598,Test1,error - Label type not mapped,0,,,,1.0,,,,,,20550ExpeditedDHL-X15,20550,Elite Marketing LLC,Expedited,DHL-X,15,,,2.0,7.0,42.0,24.0,39.0,50.0,,21930,Pink Princess,41,14582,,20598Direct Call,20598PTMT-FCDirect Call,20598,Test1,PTMT-FC,Direct Call,6,60.2,1,6,,Easy Group LLC,750,,,,,,,22005,Nature's Fusions Essential Oils,193,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598error - Label type not mapped0.4,20598,Test1,error - Label type not mapped,0.4,,,1.0,,,,,,,20550ExpeditedDHL-X160,20550,Elite Marketing LLC,Expedited,DHL-X,160,,,,,1.0,,,1.0,,21936,Herlee LLC,1,2,,20598Direct Call,20598PTMT-FCDirect Call,20598,Test1,PTMT-FC,Direct Call,8,148,1,8,,Fun Slurp,750,,,,,,,22009,West Egg Inc.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598error - Label type not mapped3,20598,Test1,error - Label type not mapped,3,,,,,2.0,,,,,20550ExpeditedDHL-X176,20550,Elite Marketing LLC,Expedited,DHL-X,176,,,1.0,1.0,3.0,1.0,2.0,3.0,,21937,Baseballism Inc,3,3,,20598Direct Call,20598PTMT-FCDirect Call,20598,Test1,PTMT-FC,Direct Call,5,90.2,1,5,,Javy,700,,,,,,,22011,The Butchery Quality Meats  ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598error - Label type not mapped5,20598,Test1,error - Label type not mapped,5,,,,,1.0,,,,,20550ExpeditedDHL-X224,20550,Elite Marketing LLC,Expedited,DHL-X,224,,,,,2.0,3.0,,,,21940,TeeHee Socks,39,1317,,20598Direct Call,20598PTMT-GADirect Call,20598,Test1,PTMT-GA,Direct Call,2,16.3,1,2,,Stuhrling Original LLC,634,,,,,,,22014,Quick Box Fulfillment,282508,131947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598error - Label type not mapped6.4,20598,Test1,error - Label type not mapped,6.4,,,,,1.0,,,,,20550ExpeditedDHL-X336,20550,Elite Marketing LLC,Expedited,DHL-X,336,,,,,,1.0,,1.0,,21946,Busy Bod Leos,40,1638,,20598Direct Call,20598PTMT-GADirect Call,20598,Test1,PTMT-GA,Direct Call,2,23.06,1,2,,Alabama Wholesale Socks Inc,600,,,,,,,22016,Made By Mary,34249,34249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598error - Label type not mapped8,20598,Test1,error - Label type not mapped,8,,,,1.0,1.0,,,,,20550ExpeditedDHL-X144,20550,Elite Marketing LLC,Expedited,DHL-X,144,,,,2.0,5.0,6.0,4.0,9.0,,21951,NovaShip,20,323,,20598Expedited,20598PTMT-GAExpedited,20598,Test1,PTMT-GA,Expedited,1,9.8,1,1,,Commend,500,,,,,,,22036,Official Exclusive LLC,102,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598error - Label type not mapped10,20598,Test1,error - Label type not mapped,10,,,,2.0,3.0,,3.0,,,20550ExpeditedDHL-X240,20550,Elite Marketing LLC,Expedited,DHL-X,240,,,1.0,4.0,8.0,13.0,15.0,8.0,,21957,RPG Ventures Pte Ltd,41,4639,,20598Ground,20598PTMT-GAGround,20598,Test1,PTMT-GA,Ground,1,11.7,1,1,,Hatch Fulfillment,500,,,,,,,22037,WM Nutrition,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598error - Label type not mapped12,20598,Test1,error - Label type not mapped,12,,,,2.0,,,,,,20550ExpeditedDHL-X256,20550,Elite Marketing LLC,Expedited,DHL-X,256,,,,,1.0,2.0,5.0,,,21962,Xintiandi Tech Corp,1,1,,20598Direct Call,20598PTMT-GA-CUBICDirect Call,20598,Test1,PTMT-GA-CUBIC,Direct Call,1,10.25,1,1,,Mindy Mae's Market,500,,,,,,,22045,World Event Promotions,691,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598error - Label type not mapped15.99,20598,Test1,error - Label type not mapped,15.99,,,,3000.0,2.0,,,,,20550ExpeditedDHL-X3,20550,Elite Marketing LLC,Expedited,DHL-X,3,,,1.0,1.0,4.0,4.0,5.0,1.0,,21975,ShipNetwork (Customer),1,1,,20598Direct Call,20598PTMT-GA-CUBICDirect Call,20598,Test1,PTMT-GA-CUBIC,Direct Call,1,4.3,1,1,,Ocean 26,500,,,,,,,22051,LOLA,37927,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598error - Label type not mapped32,20598,Test1,error - Label type not mapped,32,,,,,2.0,,,,,20550ExpeditedDHL-X208,20550,Elite Marketing LLC,Expedited,DHL-X,208,,,,1.0,3.0,,2.0,6.0,,21979,Infinite Cycles Utah Inc,41,36748,,20598Exp Plus,20598PTMT-GA-CUBICExp Plus,20598,Test1,PTMT-GA-CUBIC,Exp Plus,1,4.55,1,1,,Pac Parts,500,,,,,,,22058,Source Logistics LLC,35372,35372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598error - Label type not mapped48,20598,Test1,error - Label type not mapped,48,,,5.0,,,1.0,,,,20550ExpeditedDHL-X272,20550,Elite Marketing LLC,Expedited,DHL-X,272,,,,,1.0,1.0,,,,21981,ShipNetwork (Customer),42,869700,,20598Direct Call,20598PTMT-GA-RETURNDirect Call,20598,Test1,PTMT-GA-RETURN,Direct Call,1,9.5,1,1,,Rubberbanditz,500,,,,,,,22062,Cara Loren Shop LLC,4956,4956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598error - Label type not mapped80,20598,Test1,error - Label type not mapped,80,2.0,1.0,,,42.0,1.0,3.0,,,20550ExpeditedDHL-X304,20550,Elite Marketing LLC,Expedited,DHL-X,304,,,,,,,2.0,1.0,,21982,ShipNetwork (Customer),42,478562,,20598Direct Call,20598PTMT-GA-RETURNDirect Call,20598,Test1,PTMT-GA-RETURN,Direct Call,2,21.9,1,2,,Hospital Productions,478,,,,,,,22065,Alchemy Art Group LLC,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598error - Label type not mapped160,20598,Test1,error - Label type not mapped,160,,,,,1.0,,,,,20550ExpeditedDHL-X320,20550,Elite Marketing LLC,Expedited,DHL-X,320,,,,,,,,2.0,,21984,ShipNetwork (Customer),42,299281,,20598Direct Call,20598PTMT-GA-RETURNDirect Call,20598,Test1,PTMT-GA-RETURN,Direct Call,2,23,1,2,,Electric Visual Evolution LLC,400,,,,,,,22077,J & L Cycle LLC,2972,2972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20615Expedited1,20615,Live Your Truth,Expedited,1,4.0,5.0,1.0,7.0,11.0,5.0,11.0,7.0,,20550ExpeditedDHL-X352,20550,Elite Marketing LLC,Expedited,DHL-X,352,,1.0,,2.0,,2.0,,1.0,,21986,ShipNetwork (Customer),42,172854,,20598Priority,20598PTMT-GA-RETURNPriority,20598,Test1,PTMT-GA-RETURN,Priority,1,13.65,1,1,,Impact Battery,400,,,,,,,22093,Maru Apparel,3904,3904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20615Expedited2,20615,Live Your Truth,Expedited,2,9.0,3.0,3.0,6.0,11.0,14.0,7.0,8.0,,20550ExpeditedFM-DDU15.99,20550,Elite Marketing LLC,Expedited,FM-DDU,15.99,1.0,1.0,,,,,,,,21987,ShipNetwork (Customer),42,524949,,20598Direct Call,20598RRDDirect Call,20598,Test1,RRD,Direct Call,8,74.89,1,8,,J & L Cycle LLC,400,,,,,,,22096,Netbus LLC,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20615Expedited3,20615,Live Your Truth,Expedited,3,18.0,15.0,12.0,42.0,67.0,41.0,45.0,39.0,,20550ExpeditedFM-DDU32,20550,Elite Marketing LLC,Expedited,FM-DDU,32,2.0,2.0,,,,,,,,21988,ShipNetwork (Customer),16,29518,,20598Direct Call,20598UPSDirect Call,20598,Test1,UPS,Direct Call,14,116.18,2,7,,Real Health Products Inc,395,,,,,,,22101,Grip6 LLC,11355,11355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20615Expedited4,20615,Live Your Truth,Expedited,4,189.0,105.0,125.0,294.0,496.0,335.0,338.0,218.0,,20550ExpeditedFM-DDU64,20550,Elite Marketing LLC,Expedited,FM-DDU,64,1.0,2.0,,,,,,,,21989,ShipNetwork (Customer),41,152498,,20598Direct Call,20598UPSDirect Call,20598,Test1,UPS,Direct Call,19,392.65,3,6.3333,,Ownaj,330,,,,,,,22111,ALL PURPOSE BRANDING LLC,2525,2525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
